YJコード,医薬品名,需要タイプ名,製造販売元メーカー,在庫数,単位,置き場,最終処方日,最終処方量,不動期間,期限間近/期限切れ数量,直近の有効期限,単位薬価,在庫金額（薬価）,採用停止日,JANコード
2354003F2430,センノシド錠１２ｍｇ「サンド」,PTP/12mg1錠/10錠,サンド,1280,錠,,2026-04-07,112,1,0,2027-06-30,5.5,7040,,4987614423110
2646701M2156,リンデロン－Ｖ軟膏０．１２％,包装小/0.12%1g/5g,シオノギファーマ,125,g,,2026-03-14,50,25,0,2028-07-31,14.3,1787.5,,4987087003604
2647709N1060,リンデロン－ＶＧクリーム０．１２％,包装小/1g/5g,シオノギファーマ,15,g,,2026-03-21,20,18,0,,27.7,415.5,,4987087003871
1319812M1026,眼・耳科用リンデロンＡ軟膏,包装小/1g/5g,シオノギファーマ,10,g,,2025-07-30,5,252,10,2026-06-30,67.7,677,,4987087006643
2646703M1094,リンデロン－ＤＰ軟膏,包装小/0.064%1g/5g,シオノギファーマ,-1585,g,,2026-04-04,50,,0,,8,-12680,,4987087006681
2646703M1094,リンデロン－ＤＰ軟膏,調剤用/0.064%1g,シオノギファーマ,2105,g,,2025-05-24,100,319,0,2029-07-31,8,16840,,4987087006728
1315705M1037,プレドニン眼軟膏,包装小/0.25%1g/5g,シオノギファーマ,40,g,,2026-02-28,5,39,0,2030-07-31,91.7,3668,,4987087025934
2646701Q1038,リンデロン－Ｖローション,包装小/0.12%1mL/10mL,シオノギファーマ,10,mL,,2025-07-02,10,280,0,,14.3,143,,4987087028997
2647709Q1040,リンデロン－ＶＧローション,包装小/1mL/10mL,シオノギファーマ,270,mL,,2026-03-21,50,18,0,2028-10-31,27.7,7479,,4987087029000
2454004F2090,リンデロン錠０．５ｍｇ,PTP/0.5mg1錠/10錠,シオノギファーマ,183,錠,,2026-04-08,40,0,0,2029-12-31,10.8,1976.4,,4987087032369
2699711Q1027,ディフェリンゲル０．１％,包装小/0.1%1g/15g,マルホ,15,g,,2025-12-27,30,102,0,2027-04-30,40.1,601.5,,4987213110008
1179052M1022,サインバルタカプセル２０ｍｇ,PTP/20mg1カプセル/10カプセル,塩野義,308,カプセル,,2026-02-21,154,46,0,2027-12-31,62.3,19188.4,,4987087043303
3179115F2034,シナール配合錠,PTP/1錠/10錠,シオノギファーマ,701,錠,,2026-03-21,120,18,0,2028-07-31,10.8,7570.8,,4987087034936
6290100F2115,バクタ配合錠,PTP/1錠/10錠,シオノギファーマ,152,錠,,2026-04-03,9,5,0,2030-03-31,69.2,10518.4,,4987087034998
1180107D1131,ＰＬ配合顆粒,SP/1g/1g,シオノギファーマ,152,g,,2026-04-01,15,7,0,2030-02-28,6.9,1048.8,,4987087035032
2189017F3025,クレストールＯＤ錠２．５ｍｇ,PTP/2.5mg1錠/10錠,アストラゼネカ,75,錠,,2026-03-05,35,34,0,2027-09-30,0,0,,4987650676105
1141007F1063,カロナール錠２００,PTP/200mg1錠/10錠,あゆみ,816,錠,,2026-03-14,14,25,0,2028-06-30,6.5,5304,,4987896010817
1141007F2027,カロナール錠３００,PTP/300mg1錠/10錠,あゆみ,686,錠,,2026-04-04,252,4,0,2028-06-30,6.9,4733.4,,4987896010879
1141007F3023,カロナール錠５００,PTP/500mg1錠/10錠,あゆみ,1553.5,錠,,2026-04-08,10,0,0,2028-08-31,11.2,17399.2,,4987896011227
1141007C1075,カロナール細粒２０％,バラ/20%1g,あゆみ,89.3,g,,2026-04-02,70,6,0,2028-06-30,12.2,1089.46,,4987896030587
2359800J1035,新レシカルボン坐剤,包装小/1個/6個,京都,34,個,,2026-02-12,10,55,0,2028-05-31,73.7,2505.8,,4987103010982
2329027F1029,プロマックＤ錠７５,PTP/75mg1錠/10錠,ゼリア,62,錠,,2026-04-03,126,5,0,2028-01-31,13.7,849.4,,4987103011637
2399015F1020,アコファイド錠１００ｍｇ,PTP/100mg1錠/10錠,ゼリア,44.5,錠,,2026-04-02,126,6,0,2029-01-31,28.4,1263.8,,4987103012900
4490025F2127,オロパタジン塩酸塩錠５ｍｇ「ＺＥ」,PTP/5mg1錠/10錠,全星,509,錠,,2026-04-02,63,6,0,2028-03-31,10.8,5497.2,,4987104056118
2123016F3053,ビソプロロールフマル酸塩錠０．６２５ｍｇ「ＺＥ」,PTP/0.625mg1錠/10錠,全星,144,錠,,2026-04-06,70,2,0,2028-12-31,10.8,1555.2,,4987104064014
2123016F1140,ビソプロロールフマル酸塩錠２．５ｍｇ「ＺＥ」,PTP/2.5mg1錠/10錠,全星,448,錠,,2026-04-06,35,2,0,2028-09-30,10.8,4838.4,,4987104064113
2123016F2227,ビソプロロールフマル酸塩錠５ｍｇ「ＺＥ」,PTP/5mg1錠/10錠,全星,224,錠,,2026-03-30,28,9,0,2028-07-31,10.8,2419.2,,4987104064212
2171014G3111,ニフェジピンＣＲ錠１０ｍｇ「ＺＥ」,PTP/10mg1錠/10錠,全星,282,錠,,2026-04-06,56,2,0,2027-11-30,8.9,2509.8,,4987104073016
2171014G4118,ニフェジピンＣＲ錠２０ｍｇ「ＺＥ」,PTP/20mg1錠/10錠,全星,403,錠,,2026-04-06,35,2,0,2028-04-30,9.1,3667.3,,4987104073115
2171014G5114,ニフェジピンＣＲ錠４０ｍｇ「ＺＥ」,PTP/40mg1錠/10錠,全星,373,錠,,2026-04-06,35,2,0,2027-12-31,17,6341,,4987104073214
3961008F1136,グリメピリド錠１ｍｇ「ＺＥ」,PTP/1mg1錠/10錠,全星,307,錠,,2025-05-30,80,313,0,2027-02-28,10.8,3315.6,,4987104092000
3969007F1091,ピオグリタゾン錠１５ｍｇ「ＺＥ」,PTP/15mg1錠/10錠,全星,5,錠,,2024-12-12,35,482,5,2026-08-31,10.8,54,,4987104092307
3969007F2098,ピオグリタゾン錠３０ｍｇ「ＺＥ」,PTP/30mg1錠/10錠,全星,120,錠,,2026-03-31,15,8,0,2026-11-30,18.7,2244,,4987104092406
3190001B1050,ビオチン散０．２％「ホエイ」,バラ/0.2%1g,東洋製化,290,g,,2025-07-16,63,266,0,2027-06-30,6.9,2001,,4987901079006
2649731Q1065,ナパゲルンローション３％,包装小/3%1mL/50mL,帝國製薬,150,mL,,2025-12-23,100,106,0,2027-07-31,4.4,660,,4987641077621
1179055N2028,イフェクサーＳＲカプセル７５ｍｇ,PTP/75mg1カプセル/10カプセル,ファイザー,110,カプセル,,2026-03-23,70,16,0,2027-11-30,160.8,17688,,4987901000505
2190104F1024,カデュエット配合錠４番,PTP/1錠/10錠,ファイザー,95,錠,,2026-03-12,48,27,95,2026-09-30,49.2,4674,,4987901001205
3339004F1029,エリキュース錠２．５ｍｇ,PTP/2.5mg1錠/10錠,ブリストル・マイヤーズ,131,錠,,2026-04-02,56,6,0,2028-03-31,111.6,14619.6,,4987114175601
3339004F2025,エリキュース錠５ｍｇ,PTP/5mg1錠/10錠,ブリストル・マイヤーズ,300,錠,,2026-03-30,28,9,0,2028-06-30,201,60300,,4987114176004
2329015F2146,トロキシピド錠１００ｍｇ「オーハラ」,PTP/100mg1錠/10錠,大原,29,錠,,2025-12-29,21,100,0,2027-11-30,0,0,,4987407139211
2452002F1030,コートリル錠１０ｍｇ,PTP/10mg1錠/10錠,ファイザー,329,錠,,2026-03-13,28,26,0,2029-06-30,7.4,2434.6,,4987114210609
1190017M1028,リリカカプセル２５ｍｇ,PTP/25mg1カプセル/10カプセル,ファイザー,0,カプセル,,2025-03-12,364,,0,,23.7,0,,4987901011105
1190017F2025,リリカＯＤ錠７５ｍｇ,PTP/75mg1錠/10錠,ファイザー,120,錠,,2026-03-09,120,30,0,2027-06-30,38.4,4608,,4987901011907
2171022F3048,ノルバスクＯＤ錠２．５ｍｇ,PTP/2.5mg1錠/10錠,ファイザー,175,錠,,2025-12-26,30,103,0,2027-05-31,10.8,1890,,4987901009102
2171022F4044,ノルバスクＯＤ錠５ｍｇ,PTP/5mg1錠/10錠,ファイザー,109,錠,,2026-03-23,31,16,0,2027-09-30,10.8,1177.2,,4987901009607
1179005F1053,アタラックス錠１０ｍｇ,PTP/10mg1錠/10錠,ファイザー,271,錠,,2026-03-28,84,11,0,2029-02-28,6.3,1707.3,,4987114347008
1179005F2025,アタラックス錠２５ｍｇ,PTP/25mg1錠/10錠,ファイザー,166,錠,,2026-03-28,28,11,0,2029-04-30,6.3,1045.8,,4987114362001
3999016M1021,リウマトレックスカプセル２ｍｇ,PTP/2mg1カプセル/3カプセル,ファイザー,12,カプセル,,2026-04-02,52,6,0,2027-10-31,77.9,934.8,,4987114537409
4222001F1027,メソトレキセート錠２．５ｍｇ,バラ/2.5mg1錠,ファイザー,108,錠,,2026-03-05,72,34,0,2027-05-31,18.5,1998,,4987114553003
1124022F1067,ワイパックス錠０．５,PTP/0.5mg1錠/10錠,ファイザー,192,錠,,2026-03-21,25,18,0,2027-08-31,6.3,1209.6,,4987114553409
1169001F1024,アーテン錠（２ｍｇ）,バラ/2mg1錠,ファイザー,147,錠,,2025-01-18,28,445,147,2026-06-30,10.8,1587.6,,4987114554604
1319807M1025,ネオメドロールＥＥ軟膏,包装小/1g/3g,ファイザー,33,g,,2026-03-14,3,25,0,2027-01-31,35.7,1178.1,,4987114941404
1139003F1059,ランドセン錠０．５ｍｇ,HS/0.5mg1錠/10錠,大日本住友,177,錠,,2026-03-16,56,23,0,2028-06-30,9.9,1752.3,,4987116023924
2190022F1024,リズミック錠１０ｍｇ,PTP/10mg1錠/10錠,大日本住友,151,錠,,2026-03-12,28,27,0,2027-09-30,9.5,1434.5,,4987116169011
2149012F2020,ナトリックス錠２,PTP/2mg1錠/10錠,京都,191,錠,,2026-04-03,41,5,0,2028-10-31,11.7,2234.7,,4987116173414
2149012F1059,ナトリックス錠１,PTP/1mg1錠/10錠,京都,129,錠,,2026-04-02,56,6,0,2028-07-31,10.8,1393.2,,4987116176514
2325001F1211,タガメット錠２００ｍｇ,PTP/200mg1錠/10錠,大日本住友,100,錠,,2026-03-18,13,21,0,2028-10-31,7.6,760,,4987116234313
2649719N1106,インテバンクリーム１％,包装小/1%1g/25g,帝國製薬,400,g,,2026-03-18,50,21,0,2028-06-30,3.3,1320,,4987641074194
3969104F1029,エクメット配合錠ＬＤ,PTP/1錠/10錠,ノバルティス,0,錠,,2025-09-18,28,,0,,42,0,,4987116530132
4490033F1028,ビラノア錠２０ｍｇ,PTP/20mg1錠/10錠,大鵬薬品,309,錠,,2026-04-06,84,2,0,2028-07-31,43.9,13565.1,,4987222682152
2646726M1095,メサデルム軟膏０．１％,調剤用/0.1%1g,岡山大鵬,3850,g,,2023-12-04,50,856,0,2027-10-31,9.2,35420,,4987117773323
2646726N1090,メサデルムクリーム０．１％,包装小/0.1%1g/5g,岡山大鵬,-180,g,,2026-03-21,50,,0,,9.2,-1656,,4987117773354
2646726N1090,メサデルムクリーム０．１％,調剤用/0.1%1g,岡山大鵬,837,g,,2026-03-28,10,11,0,2027-07-31,9.2,7700.4,,4987117773477
2646726Q1046,メサデルムローション０．１％,包装小/0.1%1g/10g/プラスチック,岡山大鵬,180,g,,2026-01-10,50,88,0,2027-12-31,9.2,1656,,4987117775068
3399100F1108,バッサミン配合錠Ａ８１,PTP/81mg1錠/10錠,武田テバファーマ,190,錠,,2026-04-04,91,4,0,2028-08-31,6.3,1197,,4987123410656
2399004F1260,メトクロプラミド錠５ｍｇ「タカタ」,PTP/5mg1錠/10錠,高田,0,錠,,2026-01-17,9,,0,,10.8,0,,4987120239403
3941001F1077,コルヒチン錠０．５ｍｇ「タカタ」,PTP/0.5mg1錠/10錠,高田,203,錠,,2026-04-04,63,4,0,2030-06-30,11,2233,,4987120394409
4490026F4060,モンテルカストＯＤ錠１０ｍｇ「タカタ」,PTP/10mg1錠/10錠,高田,495,錠,,2026-04-03,7,5,0,2028-04-30,11.4,5643,,4987120447310
4490025F4057,オロパタジン塩酸塩ＯＤ錠５ｍｇ「タカタ」,PTP/5mg1錠/10錠,高田,0,錠,,2025-06-12,4,,0,,10.8,0,,4987120448119
4490020R1035,セチリジン塩酸塩ＤＳ１．２５％「タカタ」,SP/1.25%1g/0.2g,高田,31.6,g,,2025-06-27,5.6,285,11.6,2026-05-31,65.7,2076.12,,4987120448539
6241010C1032,トスフロキサシントシル酸塩細粒小児用１５％「タカタ」,バラ/150mg1g,高田,45,g,,2026-03-03,9.8,36,0,2027-04-30,102.6,4617,,4987120624520
1319710Q2132,シアノコバラミン点眼液０．０２％「センジュ」,包装小/0.02%5mL1瓶/1瓶,千寿,8,瓶,,2026-03-18,4,21,0,2028-05-31,92.3,738.4,,4987123001328
3122007F2039,２５ｍｇアリナミンＦ糖衣錠,PTP/25mg1錠/10錠,武田テバ薬品,117,錠,,2026-02-25,60,42,0,2029-12-31,6.3,737.1,,4987123127127
3179107M1040,ビタノイリンカプセル２５,PTP/1カプセル/10カプセル,武田テバ薬品,137,カプセル,,2025-09-04,63,216,0,2027-07-31,0,0,,4987123127141
3140002D1037,ハイシー顆粒２５％,分包/25%1g/1g,武田テバ薬品,881,g,,2026-04-02,126,6,0,2028-09-30,6.9,6078.9,,4987123108324
3135001F1025,フォリアミン錠,PTP/5mg1錠/10錠,日本製薬,1623.25,錠,,2026-04-04,9,4,0,2030-08-31,10.8,17531.1,,4987431190523
2329023F1020,タケプロンＯＤ錠１５,PTP/15mg1錠/10錠,武田テバ薬品,81,錠,,2026-03-23,31,16,0,2028-01-31,17.9,1449.9,,4987123140225
2316020F1029,ビオフェルミン錠剤,PTP/1錠/21錠,ビオフェルミン,346,錠,,2026-02-21,20,46,0,2028-09-30,6.1,2110.6,,4987306066182
1319808Q2036,人工涙液マイティア点眼液,包装小/5mL1瓶/1瓶,千寿,10,瓶,,2024-09-21,1,564,0,2028-01-31,94.8,948,,4987123146951
2316004B1036,ビオフェルミンＲ散,分包/1g/1g,ビオフェルミン,20,g,,2026-03-14,7.5,25,20,2026-08-31,6.9,138,,4987123151290
3999019F3037,ベネット錠７５ｍｇ,PTP/75mg1錠/1錠,武田,4,錠,,2026-03-05,2,34,0,2027-04-30,731,2924,,4987123154321
3399102F1026,タケルダ配合錠,PTP/1錠/10錠,武田テバ薬品,124,錠,,2026-04-02,35,6,0,2027-11-30,16.8,2083.2,,4987123154185
2329030F1020,タケキャブ錠１０ｍｇ,PTP/10mg1錠/10錠,武田,301,錠,,2026-04-07,35,1,0,2028-09-30,91.6,27571.6,,4987123154352
2329030F2027,タケキャブ錠２０ｍｇ,PTP/20mg1錠/10錠,武田,198,錠,,2026-04-07,30,1,0,2028-06-30,136.7,27066.6,,4987123154406
1179060F1028,トリンテリックス錠１０ｍｇ,PTP/10mg1錠/10錠,武田,100,錠,,2026-02-09,60,58,0,2028-01-31,161.7,16170,,4987123154581
2431004F4020,チラーヂンＳ錠１２．５μｇ,PTP/12.5μg1錠/10錠,あすか製薬,253,錠,,2026-03-13,28,26,0,2028-07-31,10.8,2732.4,,4987123155076
2431004F2052,チラーヂンＳ錠２５μｇ,PTP/25μg1錠/10錠,あすか製薬,500.5,錠,,2026-04-06,56,2,0,2028-06-30,10.8,5405.4,,4987123155106
2431004F1056,チラーヂンＳ錠５０μｇ,PTP/50μg1錠/10錠,あすか製薬,467,錠,,2026-03-26,90,13,0,2028-06-30,10.8,5043.6,,4987123155137
2431004F3032,チラーヂンＳ錠１００μｇ,PTP/100μg1錠/10錠,あすか製薬,159,錠,,2026-04-03,7,5,0,2028-04-30,11.6,1844.4,,4987123155205
3999424G3028,エンブレル皮下注５０ｍｇペン１．０ｍＬ,50mg1mL1キット/1キット,ファイザー,0,キット,,2026-04-04,9,,0,,14591,0,,4987123160971
3969105F1023,イニシンク配合錠,PTP/1錠/10錠,武田,0,錠,,2024-02-08,56,,0,,124.2,0,,4987123158367
1329701Q1036,ジオクチルソジウムスルホサクシネート耳科用液５％「ＣＥＯ」,包装小/5%1mL/10mL,セオリア,0,mL,,2025-04-22,10,,0,,37.6,0,,4987123158565
2432001F1033,メルカゾール錠５ｍｇ,PTP/5mg1錠/10錠,あすか製薬,159,錠,,2026-03-30,28,9,0,2027-12-31,10.8,1717.2,,4987123158831
1329706Q1055,オフロキサシン耳科用液０．３％「ＣＥＯ」,包装小/3mg1mL/5mL,セオリア,50,mL,,2026-04-03,5,5,0,2028-07-31,44.8,2240,,4987123159906
2590007F1323,プロピベリン塩酸塩錠１０ｍｇ「あすか」,PTP/10mg1錠/10錠,あすか製薬,183,錠,,2026-03-04,49,35,0,2027-10-31,12.9,2360.7,,4987123160643
2432001F2021,メルカゾール錠２．５ｍｇ,PTP/2.5mg1錠/10錠,あすか製薬,154,錠,,2026-03-12,14,27,0,2027-12-31,10.8,1663.2,,4987123161909
2183006F3040,フェノフィブラート錠５３．３ｍｇ「武田テバ」,PTP/53.3mg1錠/10錠,武田テバファーマ,88,錠,,2026-04-03,56,5,0,2028-05-31,9.1,800.8,,4987123415781
2183006F4046,フェノフィブラート錠８０ｍｇ「武田テバ」,PTP/80mg1錠/10錠,武田テバファーマ,160,錠,,2026-03-16,28,23,0,2028-06-30,10.8,1728,,4987123415811
2329023F1144,ランソプラゾールＯＤ錠１５ｍｇ「武田テバ」,PTP/15mg1錠/10錠,武田テバファーマ,1242,錠,,2026-04-06,45,2,0,2028-07-31,10.8,13413.6,,4987123415897
3969004F2337,ボグリボース錠０．３ｍｇ「武田テバ」,PTP/0.3mg1錠/10錠,武田テバファーマ,355,錠,,2026-03-12,144,27,0,2028-04-30,10.8,3834,,4987123415958
3969004F3147,ボグリボースＯＤ錠０．２ｍｇ「武田テバ」,PTP/0.2mg1錠/10錠,武田テバファーマ,191,錠,,2025-11-19,56,140,0,2027-08-31,10.8,2062.8,,4987123416603
3943001F1659,アロプリノール錠１００ｍｇ「ＴＣＫ」,PTP/100mg1錠/10錠,辰巳,542,錠,,2026-04-04,17.5,4,0,2028-04-30,10.8,5853.6,,4987124025422
1149019F1706,ロキソプロフェンＮａ錠６０ｍｇ「ＴＣＫ」,PTP/60mg1錠/10錠,辰巳,3217,錠,,2026-04-08,84,0,0,2028-07-31,10.5,33778.5,,4987124029246
1190012F3088,ドネペジル塩酸塩ＯＤ錠３ｍｇ「ＴＣＫ」,PTP/3mg1錠/14錠,辰巳,0,錠,,2025-09-20,49,,0,,25.2,0,,4987124036725
1190012F4084,ドネペジル塩酸塩ＯＤ錠５ｍｇ「ＴＣＫ」,PTP/5mg1錠/14錠,辰巳,464,錠,,2026-04-07,30,1,0,2027-12-31,37.8,17539.2,,4987124036848
1124007F2204,トリアゾラム錠０．２５ｍｇ「ＴＣＫ」,PTP/0.25mg1錠/10錠,辰巳,188.5,錠,,2026-03-23,60,16,188.5,2026-03-31,6.3,1187.55,,4987124037227
1124007F1097,トリアゾラム錠０．１２５ｍｇ「ＴＣＫ」,PTP/0.125mg1錠/10錠,辰巳,71,錠,,2025-08-07,30,244,0,2027-09-30,6.1,433.1,,4987124037319
1339005F1407,ベタヒスチンメシル酸塩錠６ｍｇ「ＴＣＫ」,PTP/6mg1錠/10錠,辰巳,450,錠,,2026-03-28,60,11,0,2028-04-30,10.8,4860,,4987124039214
2239001F1793,アンブロキソール塩酸塩錠１５ｍｇ「ＴＣＫ」,PTP/15mg1錠/10錠,辰巳,498,錠,,2026-04-06,70,2,0,2027-08-31,6.1,3037.8,,4987124045710
2149040F1131,カンデサルタン錠２ｍｇ「ＴＣＫ」,PTP/2mg1錠/10錠,辰巳,230,錠,,2026-04-02,28,6,0,2028-02-29,10.8,2484,,4987124045918
2149040F2138,カンデサルタン錠４ｍｇ「ＴＣＫ」,PTP/4mg1錠/10錠,辰巳,220,錠,,2026-04-07,35,1,0,2028-10-31,10.8,2376,,4987124046014
2149040F3134,カンデサルタン錠８ｍｇ「ＴＣＫ」,PTP/8mg1錠/10錠,辰巳,236,錠,,2026-04-04,35,4,236,2026-10-31,10.8,2548.8,,4987124046113
1124008F2098,フルニトラゼパム錠２ｍｇ「ＴＣＫ」,PTP/2mg1錠/10錠,辰巳,222,錠,,2026-03-23,30,16,0,2028-01-31,6.3,1398.6,,4987124053715
1124008F1091,フルニトラゼパム錠１ｍｇ「ＴＣＫ」,PTP/1mg1錠/10錠,辰巳,353,錠,,2026-04-03,7,5,0,2027-05-31,6.1,2153.3,,4987124053616
2189018F1078,エゼチミブ錠１０ｍｇ「ＴＣＫ」,PTP/10mg1錠/10錠,辰巳,186,錠,,2026-04-06,91,2,0,2028-05-31,28.2,5245.2,,4987124057812
1190018F7021,メマンチン塩酸塩ＯＤ錠１５ｍｇ「ＴＣＫ」,PTP/15mg1錠/14錠,辰巳,98,錠,,2025-10-18,63,172,0,2027-04-30,37.9,3714.2,,4987124058123
2171021F2314,ベニジピン塩酸塩錠４ｍｇ「ＴＣＫ」,PTP/4mg1錠/10錠,辰巳,328,錠,,2026-03-18,63,21,0,2026-12-31,10.8,3542.4,,4987124125238
2171022F4095,アムロジピンＯＤ錠５ｍｇ「ＴＣＫ」,PTP/5mg1錠/10錠,辰巳,2069,錠,,2026-04-06,35,2,0,2028-05-31,10.8,22345.2,,4987124133424
2329021F1161,レバミピド錠１００ｍｇ「ＴＣＫ」,PTP/100mg1錠/10錠,辰巳,2576,錠,,2026-04-08,42,0,0,2028-04-30,10.8,27820.8,,4987124134025
1129009F1165,ゾルピデム酒石酸塩錠５ｍｇ「ＴＣＫ」,PTP/5mg1錠/10錠,辰巳,286,錠,,2026-03-25,19,14,0,2027-09-30,10.8,3088.8,,4987124138115
1129009F2161,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,PTP/10mg1錠/10錠,辰巳,76,錠,,2026-04-07,30,1,0,2027-11-30,10.8,820.8,,4987124138214
1147002F1641,ジクロフェナクＮａ錠２５ｍｇ「ＴＣＫ」,PTP/25mg1錠/10錠,辰巳,421,錠,,2026-03-18,189,21,0,2028-05-31,6.1,2568.1,,4987124145311
1249009F1465,エペリゾン塩酸塩錠５０ｍｇ「ＴＣＫ」,PTP/50mg1錠/10錠,辰巳,406,錠,,2026-04-08,28,0,0,2028-08-31,6.3,2557.8,,4987124150612
2149114F1099,アムバロ配合錠「ＴＣＫ」,PTP/1錠/14錠,辰巳,-63,錠,,2025-10-18,63,,0,,14,-882,,4987124152340
1179046F1052,セルトラリン錠２５ｍｇ「ＴＣＫ」,PTP/25mg1錠/10錠,辰巳,270.25,錠,,2026-03-30,1.75,9,0,2027-01-31,9.5,2567.375,,4987124152418
1149117F1098,トアラセット配合錠「ＴＣＫ」,PTP/1錠/10錠,辰巳,736,錠,,2026-04-03,112,5,0,2027-06-30,9.9,7286.4,,4987124156928
2590010F2070,シロドシン錠４ｍｇ「ＴＣＫ」,PTP/4mg1錠/10錠,辰巳,63,錠,,2026-04-07,70,1,0,2028-06-30,10.8,680.4,,4987124157314
4490028F1078,レボセチリジン塩酸塩錠５ｍｇ「ＴＣＫ」,PTP/5mg1錠/10錠,辰巳,371,錠,,2026-03-14,10,25,0,2028-03-31,13.4,4971.4,,4987124157710
1179025F1026,デパス錠０．５ｍｇ,PTP/0.5mg1錠/10錠,田辺三菱,58,錠,,2026-04-02,30,6,0,2027-12-31,10.8,626.4,,4987128006496
1171001F2177,コントミン糖衣錠２５ｍｇ,PTP/25mg1錠/10錠,田辺三菱,0,錠,,2024-12-03,5,,0,,10,0,,4987128005147
2354003F2316,プルゼニド錠１２ｍｇ,PTP/12mg1錠/10錠,サンファーマ,132,錠,,2026-03-23,62,16,0,2027-11-30,6.1,805.2,,4987047211346
2646725N1150,マイザークリーム０．０５％,調剤用/0.05%1g,田辺三菱,1610,g,,2026-03-26,20,13,0,2027-10-31,9.6,15456,,4987128084319
3999433G2020,シンポニー皮下注５０ｍｇオートインジェクター,50mg0.5mL1キット/1キット,ヤンセン,0,キット,,2026-02-18,4,,0,,100813,0,,4987128072736
2646725N1150,マイザークリーム０．０５％,包装小/0.05%1g/5g,田辺三菱,-830,g,,2026-03-28,15,,0,,9.6,-7968,,4987128087365
2633705N1031,ゲーベンクリーム１％,調剤用/1%1g,田辺三菱,175,g,,2026-03-31,50,8,0,2028-05-31,12.8,2240,,4987128104567
2646725M1201,マイザー軟膏０．０５％,包装小/0.05%1g/5g,田辺三菱,-15,g,,2026-03-28,20,,0,,9.6,-144,,4987128107285
2649727M1040,コンベック軟膏５％,包装小/5%1g/10g,田辺三菱,130,g,,2025-10-25,50,165,30,2026-07-31,11.5,1495,,4987128132478
2432002F1054,チウラジール錠５０ｍｇ,PTP/50mg1錠/10錠,ニプロＥＳファーマ,297,錠,,2026-03-12,112,27,0,2027-12-31,10.8,3207.6,,4987190005892
2659710Q1078,ラミシール外用液１％,包装小/1%1g/10g,サンファーマ,70,g,,2026-02-21,40,46,70,2026-06-30,15.8,1106,,4987047211421
3969022F1029,カナグル錠１００ｍｇ,PTP/100mg1錠/10錠,田辺三菱,104,錠,,2026-03-12,48,27,0,2028-04-30,133.7,13904.8,,4987128191116
2135001F1128,バイカロン錠２５ｍｇ,PTP/25mg1錠/10錠,田辺三菱,95,錠,,2026-03-05,35,34,0,2030-05-31,10.8,1026,,4987128242788
1124009F1398,ブロチゾラム錠０．２５ｍｇ「ヨシトミ」,PTP/0.25mg1錠/10錠,田辺三菱,206,錠,,2026-04-03,7,5,0,2028-05-31,10.8,2224.8,,4987128320011
1179038F1147,リスペリドン錠１ｍｇ「ヨシトミ」,PTP/1mg1錠/10錠,全星,46,錠,,2025-03-15,63,389,0,2027-06-30,10.8,496.8,,4987128303236
4490034F1022,ルパフィン錠１０ｍｇ,PTP/10mg1錠/10錠,帝國製薬,453,錠,,2026-03-28,28,11,0,2028-07-31,37.4,16942.2,,4987128322527
6250021R1024,タミフルドライシロップ３％,バラ/3%1g,中外,3,g,,2024-02-20,10.5,778,0,,103,309,,4987136100315
2249001F2079,レスプレン錠２０ｍｇ,PTP/20mg1錠/10錠,太陽ファルマ,354,錠,,2026-04-02,42,6,0,2030-02-28,11.7,4141.8,,4987925113588
1139003F1040,リボトリール錠０．５ｍｇ,SP/0.5mg1錠/10錠,太陽ファルマ,548.5,錠,,2026-04-08,28,0,0,2030-07-31,9.9,5430.15,,4987925117845
1139003F2047,リボトリール錠１ｍｇ,SP/1mg1錠/10錠,太陽ファルマ,501,錠,,2026-03-18,168,21,0,2029-02-28,10.8,5410.8,,4987925117883
3112006M1022,エディロールカプセル０．５μｇ,PTP/0.5μg1カプセル/10カプセル,中外,9,カプセル,,2026-04-03,63,5,0,2027-02-28,23.9,215.1,,4987136118938
3112006M2029,エディロールカプセル０．７５μｇ,PTP/0.75μg1カプセル/10カプセル,中外,85,カプセル,,2026-04-08,40,0,0,2027-12-31,34.9,2966.5,,4987136118983
6399421G2029,アクテムラ皮下注１６２ｍｇオートインジェクター,162mg0.9mL1キット/1キット,中外,2,キット,,2026-03-06,3,33,0,2027-04-30,32608,65216,,4987136119409
3134003F1388,ピドキサール錠１０ｍｇ,PTP/10mg1錠/10錠,太陽ファルマ,44,錠,,2025-08-07,21,244,0,2027-05-31,6.3,277.2,,4987925119719
3134003F2147,ピドキサール錠２０ｍｇ,PTP/20mg1錠/10錠,太陽ファルマ,35,錠,,2026-02-27,90,40,0,2028-02-29,6.3,220.5,,4987925119726
5200013D1123,ツムラ葛根湯エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,815,g,,2026-04-02,105,6,0,2028-09-30,13.4,10921,,4987138800138
5200015D1084,ツムラ葛根湯加川きゅう辛夷エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,195,g,,2026-02-21,225,46,0,2028-11-30,10.1,1969.5,,4987138800244
5200121D1045,ツムラ八味地黄丸エキス顆粒（医療用）,分包/1g/2.5g,ツムラ,692.5,g,,2026-04-07,150,1,0,2028-12-31,9.8,6786.5,,4987138800732
